DepMap_ID,pubchem,Z_SCORE,ActArea
ACH-000111,11626560,-0.920839451,0.05411
ACH-000966,10461815,-0.920813548,0.05415
ACH-000451,135611162,-0.920599856,0.05448
ACH-000924,60700,-0.920457394,0.0547
ACH-000245,10302451,-0.920010582,0.05539
ACH-000866,24180719,-0.920004106,0.0554
ACH-000609,5479543,-0.91998468,0.05543
ACH-000971,5479543,-0.919906973,0.05555
ACH-000652,5479543,-0.919881071,0.05559
ACH-000906,10302451,-0.919842218,0.05565
ACH-000129,644241,-0.919576721,0.05606
ACH-000148,216239,-0.919524917,0.05614
ACH-000472,10127622,-0.919162287,0.0567
ACH-000040,176870,-0.919091056,0.05681
ACH-000245,10127622,-0.91866367,0.05747
ACH-000151,10302451,-0.918592439,0.05758
ACH-000396,24180719,-0.918592439,0.05758
ACH-000320,208908,-0.918411124,0.05786
ACH-000568,11626560,-0.918398173,0.05788
ACH-000376,5479543,-0.918398173,0.05788
ACH-000924,216345,-0.918249236,0.05811
ACH-000953,216239,-0.918178005,0.05822
ACH-000617,5479543,-0.918126201,0.0583
ACH-000067,10461815,-0.91811325,0.05832
ACH-000148,176870,-0.918087348,0.05836
ACH-000979,5330286,-0.917834802,0.05875
ACH-000876,24180719,-0.917815375,0.05878
ACH-000048,24180719,-0.917685864,0.05898
ACH-000668,24180719,-0.91763406,0.05906
ACH-000614,176870,-0.917627584,0.05907
ACH-000420,10461815,-0.917595207,0.05912
ACH-000102,24180719,-0.916928226,0.06015
ACH-000943,176870,-0.916863471,0.06025
ACH-000822,216239,-0.916539694,0.06075
ACH-000062,10302451,-0.916436086,0.06091
ACH-000547,644241,-0.916390757,0.06098
ACH-000389,5479543,-0.916326002,0.06108
ACH-000568,5479543,-0.915814434,0.06187
ACH-000788,5479543,-0.915775581,0.06193
ACH-000408,24180719,-0.915671972,0.06209
ACH-000811,5330286,-0.915626644,0.06216
ACH-000155,10461815,-0.91551656,0.06233
ACH-000464,216239,-0.915374098,0.06255
ACH-000411,5479543,-0.915050321,0.06305
ACH-000375,10127622,-0.915011468,0.06311
ACH-000783,10127622,-0.91497909,0.06316
ACH-000776,176870,-0.914655313,0.06366
ACH-000493,216239,-0.914415718,0.06403
ACH-000720,176870,-0.914085466,0.06454
ACH-001307,11503417,-0.914027186,0.06463
ACH-000522,11476171,-0.913787591,0.065
ACH-000627,11626560,-0.91377464,0.06502
ACH-000514,24180719,-0.913755214,0.06505
ACH-000886,216345,-0.913690458,0.06515
ACH-000514,216345,-0.913677507,0.06517
ACH-000155,216239,-0.913263073,0.06581
ACH-000587,24180719,-0.91316594,0.06596
ACH-000271,176870,-0.91316594,0.06596
ACH-000530,24180719,-0.913029953,0.06617
ACH-000573,5479543,-0.912855114,0.06644
ACH-000019,216345,-0.91262847,0.06679
ACH-000464,24180719,-0.912511911,0.06697
ACH-000271,10461815,-0.912505435,0.06698
ACH-000505,208908,-0.912356498,0.06721
ACH-000613,216239,-0.912246414,0.06738
ACH-000966,11503417,-0.911864357,0.06797
ACH-000562,216345,-0.91171542,0.0682
ACH-000047,10127622,-0.911475825,0.06857
ACH-000651,11503417,-0.911417545,0.06866
ACH-000271,216345,-0.911262132,0.0689
ACH-000514,176870,-0.910899502,0.06946
ACH-000042,5479543,-0.910769991,0.06966
ACH-000828,5330286,-0.910718187,0.06974
ACH-000463,176870,-0.910588676,0.06994
ACH-000609,176870,-0.910122438,0.07066
ACH-000139,216345,-0.909856941,0.07107
ACH-000067,176870,-0.909779234,0.07119
ACH-000783,24180719,-0.90966915,0.07136
ACH-000783,216345,-0.909584968,0.07149
ACH-000245,11503417,-0.909507262,0.07161
ACH-000827,176870,-0.909351849,0.07185
ACH-000291,5330286,-0.909254716,0.072
ACH-000979,644241,-0.909215862,0.07206
ACH-000291,10461815,-0.908879135,0.07258
ACH-000320,24180719,-0.908568309,0.07306
ACH-000396,208908,-0.908548882,0.07309
ACH-000587,644241,-0.908374043,0.07336
ACH-000945,216239,-0.908354616,0.07339
ACH-000075,176870,-0.90804379,0.07387
ACH-000890,5479543,-0.908017888,0.07391
ACH-000857,644241,-0.907836573,0.07419
ACH-000759,216239,-0.907603454,0.07455
ACH-000580,5330286,-0.907512796,0.07469
ACH-000562,208908,-0.907480419,0.07474
ACH-000098,11626560,-0.907325006,0.07498
ACH-000062,216239,-0.907169593,0.07522
ACH-001307,176870,-0.906774585,0.07583
ACH-000563,24180719,-0.906515564,0.07623
ACH-000973,24180719,-0.906282444,0.07659
ACH-000062,16038120,-0.906178836,0.07675
ACH-000696,11503417,-0.906159409,0.07678
ACH-000573,24180719,-0.90604285,0.07696
ACH-000464,11503417,-0.906036374,0.07697
ACH-000985,216345,-0.905952192,0.0771
ACH-000853,216345,-0.905835632,0.07728
ACH-000113,10461815,-0.905589562,0.07766
ACH-000001,644241,-0.905479478,0.07783
ACH-000730,5479543,-0.905278736,0.07814
ACH-000814,11476171,-0.905265785,0.07816
ACH-000570,176870,-0.905103897,0.07841
ACH-000599,176870,-0.904786596,0.0789
ACH-000770,10302451,-0.904747742,0.07896
ACH-000304,16038120,-0.904547001,0.07927
ACH-000260,24180719,-0.904540525,0.07928
ACH-000054,24180719,-0.904501672,0.07934
ACH-000924,644241,-0.904488721,0.07936
ACH-000437,216239,-0.904268553,0.0797
ACH-000853,5330286,-0.903970678,0.08016
ACH-000330,10127622,-0.903944776,0.0802
ACH-000430,10461815,-0.903854118,0.08034
ACH-000501,216345,-0.903847643,0.08035
ACH-000609,216345,-0.903264844,0.08125
ACH-000978,10461815,-0.903225991,0.08131
ACH-000672,5479543,-0.90315476,0.08142
ACH-000467,216239,-0.90315476,0.08142
ACH-000694,5330286,-0.903038201,0.0816
ACH-000356,24180719,-0.902843935,0.0819
ACH-000308,644241,-0.902824508,0.08193
ACH-000979,5479543,-0.902772704,0.08201
ACH-000828,216345,-0.902636717,0.08222
ACH-000855,10127622,-0.90260434,0.08227
ACH-000847,10127622,-0.902559011,0.08234
ACH-000960,3081361,-0.902435976,0.08253
ACH-000649,176870,-0.902345318,0.08267
ACH-000662,216345,-0.902293514,0.08275
ACH-000976,10302451,-0.902254661,0.08281
ACH-000627,24180719,-0.902248185,0.08282
ACH-000558,176870,-0.902176954,0.08293
ACH-000176,216345,-0.901788422,0.08353
ACH-000260,208908,-0.901775471,0.08355
ACH-000987,10302451,-0.901367512,0.08418
ACH-000814,216239,-0.901134393,0.08454
ACH-000890,176870,-0.901069638,0.08464
ACH-000956,5479543,-0.900972505,0.08479
ACH-000647,5479543,-0.900875371,0.08494
ACH-000855,216239,-0.900784714,0.08508
ACH-000335,5479543,-0.900551595,0.08544
ACH-000207,216239,-0.900344377,0.08576
ACH-000720,10302451,-0.900331426,0.08578
ACH-000226,135611162,-0.899787481,0.08662
ACH-000558,10461815,-0.899761579,0.08666
ACH-000464,176870,-0.899554362,0.08698
ACH-000343,5479543,-0.899133452,0.08763
ACH-000866,10127622,-0.898842053,0.08808
ACH-001307,5330286,-0.898680165,0.08833
ACH-000102,216345,-0.89838229,0.08879
ACH-000696,216345,-0.898285157,0.08894
ACH-000144,644241,-0.898162122,0.08913
ACH-000681,10461815,-0.897896625,0.08954
ACH-000035,10117717,-0.897728261,0.0898
ACH-000888,10461815,-0.897708834,0.08983
ACH-000493,644241,-0.897682932,0.08987
ACH-000114,208908,-0.897287924,0.09048
ACH-000930,216345,-0.897281449,0.09049
ACH-000674,11503417,-0.897242596,0.09055
ACH-000235,10461815,-0.896679224,0.09142
ACH-000936,644241,-0.896672748,0.09143
ACH-000437,11476171,-0.896420202,0.09182
ACH-000040,24180719,-0.896251838,0.09208
ACH-000308,5330286,-0.896122328,0.09228
ACH-000669,10461815,-0.895882733,0.09265
ACH-000501,5479543,-0.895740271,0.09287
ACH-000857,5479543,-0.895694942,0.09294
ACH-000178,24180719,-0.895623711,0.09305
ACH-000651,10302451,-0.895578383,0.09312
ACH-000260,10461815,-0.895435921,0.09334
ACH-000235,24180719,-0.89542297,0.09336
ACH-000876,3081361,-0.895351739,0.09347
ACH-000668,644241,-0.895241655,0.09364
ACH-000915,5330286,-0.895183375,0.09373
ACH-000024,24180719,-0.895079766,0.09389
ACH-000171,644241,-0.895073291,0.0939
ACH-001190,176870,-0.8948855,0.09419
ACH-000291,216345,-0.894063107,0.09546
ACH-000467,644241,-0.894024254,0.09552
ACH-000484,5330286,-0.894024254,0.09552
ACH-000627,5479543,-0.893655148,0.09609
ACH-000129,5479543,-0.893240714,0.09673
ACH-000906,176870,-0.893039972,0.09704
ACH-000048,10127622,-0.893033497,0.09705
ACH-000886,5330286,-0.893027021,0.09706
ACH-000651,24180719,-0.892942839,0.09719
ACH-000219,11503417,-0.892910462,0.09724
ACH-000558,11503417,-0.892852182,0.09733
ACH-000853,176870,-0.892508978,0.09786
ACH-000024,11656518,-0.892398894,0.09803
ACH-000667,216345,-0.892334139,0.09813
ACH-000308,5479543,-0.892243481,0.09827
ACH-000859,5479543,-0.892237006,0.09828
ACH-000062,5330286,-0.892029789,0.0986
ACH-000330,176870,-0.89198446,0.09867
ACH-000330,10117717,-0.891647732,0.09919
ACH-000640,216239,-0.891550599,0.09934
ACH-000475,24180719,-0.891265675,0.09978
ACH-000248,10127622,-0.8912592,0.09979
ACH-000750,176870,-0.8912592,0.09979
ACH-000072,16038120,-0.891123214,0.1
ACH-000966,11626560,-0.890993703,0.1002
ACH-000694,10461815,-0.890928947,0.1003
ACH-000449,10117717,-0.890346149,0.1012
ACH-000270,5479543,-0.890281394,0.1013
ACH-000074,216345,-0.890022372,0.1017
ACH-000493,24180719,-0.889957617,0.1018
ACH-000315,644241,-0.889763351,0.1021
ACH-000343,5330286,-0.889439574,0.1026
ACH-000361,208908,-0.889374819,0.1027
ACH-000052,176870,-0.889245308,0.1029
ACH-000464,10127622,-0.889180553,0.103
ACH-000617,5330286,-0.888986286,0.1033
ACH-000304,176870,-0.888856776,0.1035
ACH-000945,644241,-0.888727265,0.1037
